tpep_pickup_datetime,tpep_dropoff_datetime,trip_distance,PULocationID,DOLocationID,LocationID,zone,latitude,longitude,borough
2020-12-05 15:03:27,2020-12-05 15:09:58,1.35,141,263,1,Newark Airport,-74.17678575,40.68951565,EWR
2020-12-05 15:13:30,2020-12-05 15:19:32,1.13,263,229,2,Jamaica Bay,-73.82612577,40.62572424,Queens
2020-12-05 15:36:04,2020-12-05 16:08:50,8.56,141,95,3,Allerton/Pelham Gardens,-73.84947892,40.86588754,Bronx
2020-12-05 15:23:22,2020-12-05 15:38:24,6.07,138,160,4,Alphabet City,-73.97702292,40.72415214,Manhattan
2020-12-05 15:42:30,2020-12-05 15:57:59,6.37,50,244,5,Arden Heights,-74.18992967,40.55034012,Staten Island
2020-12-05 15:01:40,2020-12-05 15:13:43,2.32,236,41,6,Arrochar/Fort Wadsworth,-74.06777446,40.59906217,Staten Island
2020-12-05 15:16:27,2020-12-05 15:20:35,.59,41,41,7,Astoria,-73.92149057,40.76108473,Queens
2020-12-05 15:30:16,2020-12-05 15:40:33,1.89,151,75,8,Astoria Park,-73.92320241,40.77860696,Queens
2020-12-05 15:03:29,2020-12-05 15:16:33,1.87,211,90,9,Auburndale,-73.78802025,40.75441093,Queens
2020-12-05 15:13:10,2020-12-05 15:19:30,1.50,48,68,10,Baisley Park,-73.79166546,40.6781247,Queens
2020-12-05 15:43:32,2020-12-05 15:50:40,1.00,100,163,11,Bath Beach,-74.01061563,40.60397771,Brooklyn
2020-12-05 15:54:06,2020-12-05 15:56:45,.50,163,237,12,Battery Park,-74.01549033,40.70248841,Manhattan
2020-12-05 15:40:27,2020-12-05 15:43:22,.52,249,249,13,Battery Park City,-74.01611967,40.71161208,Manhattan
2020-12-05 15:46:21,2020-12-05 15:53:55,1.67,90,164,14,Bay Ridge,-74.03044705,40.62358428,Brooklyn
2020-12-05 15:05:02,2020-12-05 15:22:13,4.30,68,75,15,Bay Terrace/Fort Totten,-73.78797108,40.7852195,Queens
2020-12-05 15:30:33,2020-12-05 15:37:13,1.20,236,140,16,Bayside,-73.77166782,40.76120883,Queens
2020-12-05 15:49:54,2020-12-05 16:07:30,3.90,144,140,17,Bedford,-73.9491813,40.6919941,Brooklyn
2020-12-05 14:59:15,2020-12-05 15:06:24,1.37,237,75,18,Bedford Park,-73.88692199,40.86876288,Bronx
2020-12-05 15:41:32,2020-12-05 15:48:38,.87,151,238,19,Bellerose,-73.7278694,40.73647244,Queens
2020-12-05 15:36:06,2020-12-05 15:44:17,1.31,161,229,20,Belmont,-73.88603484,40.85777311,Bronx
2020-12-05 15:28:37,2020-12-05 15:44:29,2.40,161,236,21,Bensonhurst East,-73.98130073,40.60204898,Brooklyn
2020-12-05 15:22:42,2020-12-05 15:30:22,1.80,43,41,22,Bensonhurst West,-73.99429702,40.60962734,Brooklyn
2020-12-05 15:57:53,2020-12-05 16:13:20,1.70,143,162,23,Bloomfield/Emerson Hill,-74.15944329,40.60750422,Staten Island
2020-12-05 15:06:45,2020-12-05 15:16:02,1.47,141,162,24,Bloomingdale,-73.96556853,40.80203277,Manhattan
2020-12-05 15:16:58,2020-12-05 15:32:34,2.55,162,211,25,Boerum Hill,-73.98645899,40.68561459,Brooklyn
2020-12-05 15:44:50,2020-12-05 16:00:09,1.23,79,249,26,Borough Park,-73.98956041,40.62861224,Brooklyn
2020-12-05 15:25:30,2020-12-05 15:32:15,1.20,164,48,27,Breezy Point/Fort Tilden/Riis Beach,-73.9097812,40.55895009,Queens
2020-12-05 15:56:09,2020-12-05 16:36:33,4.05,260,82,28,Briarwood/Jamaica Hills,-73.80732908,40.71085278,Queens
2020-12-05 15:10:05,2020-12-05 15:21:19,2.51,262,161,29,Brighton Beach,-73.96057985,40.58219555,Brooklyn
2020-12-05 15:21:34,2020-12-05 15:29:15,1.10,140,229,30,Broad Channel,-73.82009755,40.60487218,Queens
